"Indicator","Market","Destination","Units","2016","2017","2018","2019","2020","2021"
"Visitor arrivals","S. Dakota","Statewide","persons","8,650","9,175","10,151","10,148","4,537","7,208"
"Visitor arrivals","Tennessee","Statewide","persons","36,055","39,421","43,177","46,788","12,173","42,733"
"Visitor arrivals","Texas","Statewide","persons","263,905","280,746","309,772","336,563","94,943","366,916"
"Visitor arrivals","Utah","Statewide","persons","126,416","139,634","162,937","173,552","64,086","204,279"
"Visitor arrivals","Vermont","Statewide","persons","5,245","5,337","5,864","5,815","2,185","4,232"
"Visitor arrivals","Virginia","Statewide","persons","85,562","89,878","96,913","100,434","25,840","78,908"
"Visitor arrivals","Washington","Statewide","persons","509,849","540,406","594,250","628,836","213,140","565,748"
"Visitor arrivals","Washington, D.C.","Statewide","persons","10,571","11,246","12,187","12,974","3,478","11,264"
"Visitor arrivals","W. Virginia","Statewide","persons","5,863","5,753","6,525","6,815","1,668","4,624"
"Visitor arrivals","Wisconsin","Statewide","persons","50,762","52,195","56,920","59,520","23,938","49,055"
"Visitor arrivals","Wyoming","Statewide","persons","9,344","10,007","11,289","11,615","4,044","9,691"
"Visitor days","Alabama","Statewide","days","211,548","212,840","230,526","230,070","77,836",NA
"Visitor days","Alaska","Statewide","days","955,844","941,073","987,339","1,015,752","550,293",NA
"Visitor days","Arizona","Statewide","days","1,658,305","1,693,035","1,830,180","1,980,024","685,984",NA
"Visitor days","Arkansas","Statewide","days","141,210","146,416","160,131","161,715","50,728",NA
"Visitor days","California","Statewide","days","18,166,728","18,746,046","19,922,132","21,587,736","6,561,730",NA
"Visitor days","Colorado","Statewide","days","1,571,215","1,689,224","1,858,618","1,953,259","737,489",NA
"Visitor days","Connecticut","Statewide","days","296,268","290,596","294,952","293,344","102,081",NA
"Visitor days","Delaware","Statewide","days","59,786","65,050","70,248","71,005","27,324",NA
"Visitor days","Florida","Statewide","days","1,206,248","1,278,818","1,353,512","1,373,932","503,268",NA
"Visitor days","Georgia","Statewide","days","642,551","672,590","715,183","729,463","229,992",NA
"Visitor days","Idaho","Statewide","days","494,672","545,113","608,844","679,668","275,593",NA
"Visitor days","Illinois","Statewide","days","1,381,568","1,415,094","1,469,425","1,520,186","580,967",NA
"Visitor days","Indiana","Statewide","days","426,373","458,505","499,025","503,423","180,966",NA
"Visitor days","Iowa","Statewide","days","266,958","291,849","326,471","311,612","161,030",NA
"Visitor days","Kansas","Statewide","days","245,274","264,842","275,853","307,179","120,978",NA
"Visitor days","Kentucky","Statewide","days","202,292","221,916","235,522","240,404","79,019",NA
"Visitor days","Louisiana","Statewide","days","177,206","183,423","204,216","204,714","68,799",NA
"Visitor days","Maine","Statewide","days","98,920","101,543","109,657","112,416","54,297",NA
"Visitor days","Maryland","Statewide","days","525,212","562,712","604,640","620,869","196,465",NA
"Visitor days","Massachusetts","Statewide","days","639,814","694,256","698,216","757,140","295,086",NA
"Visitor days","Michigan","Statewide","days","762,999","810,730","877,729","874,981","371,378",NA
"Visitor days","Minnesota","Statewide","days","889,120","932,814","1,007,220","1,053,794","567,562",NA
"Visitor days","Mississippi","Statewide","days","80,670","82,229","90,696","95,894","33,759",NA
"Visitor days","Missouri","Statewide","days","462,954","506,331","533,042","574,804","206,238",NA
"Visitor days","Montana","Statewide","days","284,348","292,361","320,644","335,758","167,904",NA
"Visitor days","N. Carolina","Statewide","days","542,250","596,046","660,773","647,916","218,163",NA
"Visitor days","N. Dakota","Statewide","days","85,428","85,291","92,083","97,547","51,858",NA
"Visitor days","Nebraska","Statewide","days","192,893","199,589","213,732","219,570","98,843",NA
"Visitor days","Nevada","Statewide","days","946,617","958,215","1,014,008","1,151,551","461,725",NA
"Visitor days","New Hampshire","Statewide","days","119,059","126,697","127,422","135,837","63,547",NA
"Visitor days","New Jersey","Statewide","days","753,474","789,516","793,327","808,014","252,014",NA
"Visitor days","New Mexico","Statewide","days","265,976","273,794","289,837","325,482","103,536",NA
"Visitor days","New York","Statewide","days","1,430,552","1,519,465","1,497,625","1,534,749","598,293",NA
"Visitor days","Ohio","Statewide","days","733,683","759,669","853,662","828,208","285,712",NA
"Visitor days","Oklahoma","Statewide","days","268,477","281,227","303,236","320,854","104,938",NA
"Visitor days","Oregon","Statewide","days","2,229,235","2,371,044","2,575,744","2,653,542","1,025,838",NA
"Visitor days","Pennsylvania","Statewide","days","773,050","791,806","818,031","814,055","271,310",NA
"Visitor days","Rhode Island","Statewide","days","69,023","74,658","78,789","76,111","30,385",NA
"Visitor days","S. Carolina","Statewide","days","247,469","256,196","283,533","287,199","101,058",NA
"Visitor days","S. Dakota","Statewide","days","95,898","96,316","108,330","107,919","56,350",NA
"Visitor days","Tennessee","Statewide","days","362,495","392,993","430,993","450,482","145,474",NA
"Visitor days","Texas","Statewide","days","2,450,560","2,588,906","2,818,329","3,001,374","1,009,202",NA
"Visitor days","Utah","Statewide","days","1,183,692","1,294,398","1,481,733","1,555,707","671,872",NA
"Visitor days","Vermont","Statewide","days","63,045","64,357","70,834","70,258","32,761",NA
"Visitor days","Virginia","Statewide","days","891,403","918,254","978,813","996,685","343,009",NA
"Visitor days","Washington","Statewide","days","5,072,615","5,304,413","5,720,934","5,910,384","2,498,084",NA
"Visitor days","Washington, D.C.","Statewide","days","101,743","106,531","114,741","118,860","39,963",NA
"Visitor days","W. Virginia","Statewide","days","61,621","60,638","66,128","68,672","22,236",NA
"Visitor days","Wisconsin","Statewide","days","558,646","562,937","610,247","626,455","299,579",NA
"Visitor days","Wyoming","Statewide","days","99,224","103,771","115,066","115,392","48,592",NA
"Length of stay","Alabama","Statewide","days","10.06","9.92","9.73","9.53","12.4",NA
"Length of stay","Alaska","Statewide","days","11.71","11.63","11.18","10.89","12.93",NA
"Length of stay","Arizona","Statewide","days","9.43","9.41","9.36","8.98","10.43",NA
"Length of stay","Arkansas","Statewide","days","10","9.71","9.79","9.28","12.01",NA
"Length of stay","California","Statewide","days","8.67","8.61","8.45","8.18","10",NA
"Length of stay","Colorado","Statewide","days","10.17","10.03","9.82","9.53","11.68",NA
"Length of stay","Connecticut","Statewide","days","11.07","10.83","10.67","10.55","13.66",NA
"Length of stay","Delaware","Statewide","days","11.35","10.9","11.09","10.9","14.4",NA
"Length of stay","Florida","Statewide","days","10.55","10.35","10.33","9.96","12.59",NA
"Length of stay","Georgia","Statewide","days","9.79","9.55","9.55","9.35","11.64",NA
"Length of stay","Idaho","Statewide","days","10.09","10.05","9.85","9.6","10.97",NA
"Length of stay","Illinois","Statewide","days","10.1","10.05","9.93","9.65","11.91",NA
"Length of stay","Indiana","Statewide","days","10.37","10.36","10.25","9.92","12.24",NA
"Length of stay","Iowa","Statewide","days","10.57","10.54","10.42","10.1","11.47",NA
"Length of stay","Kansas","Statewide","days","9.81","9.76","9.71","9.4","11.19",NA
"Length of stay","Kentucky","Statewide","days","10.41","10.55","10.25","9.89","11.95",NA
"Length of stay","Louisiana","Statewide","days","9.72","9.57","9.64","9.28","11.89",NA
"Length of stay","Maine","Statewide","days","12.18","11.83","11.94","11.59","15.45",NA
"Length of stay","Maryland","Statewide","days","10.3","10.18","10.03","9.77","12.57",NA
"Length of stay","Massachusetts","Statewide","days","10.94","10.89","10.64","10.47","13.15",NA
"Length of stay","Michigan","Statewide","days","11.25","11.03","10.89","10.58","13.15",NA
"Length of stay","Minnesota","Statewide","days","10.97","10.7","10.51","10.31","11.94",NA
"Length of stay","Mississippi","Statewide","days","9.57","9.38","9.67","9.23","12.32",NA
"Length of stay","Missouri","Statewide","days","9.97","10.16","9.95","9.67","11.38",NA
"Length of stay","Montana","Statewide","days","10.92","10.76","10.64","10.37","12.01",NA
"Length of stay","N. Carolina","Statewide","days","10.41","10.32","10.2","9.9","12.3",NA
"Length of stay","N. Dakota","Statewide","days","10.62","10.71","10.62","10.22","11.89",NA
"Length of stay","Nebraska","Statewide","days","10.09","9.94","9.76","9.42","11.21",NA
"Length of stay","Nevada","Statewide","days","9.5","9.29","9.2","8.94","10.98",NA
"Length of stay","New Hampshire","Statewide","days","11.74","11.52","11.34","11.35","14.18",NA
"Length of stay","New Jersey","Statewide","days","10.42","10.31","10.14","9.95","12.43",NA
"Length of stay","New Mexico","Statewide","days","10.35","10.14","9.9","9.56","11.55",NA
"Length of stay","New York","Statewide","days","10.42","10.29","10.17","9.91","12.95",NA
"Length of stay","Ohio","Statewide","days","10.53","10.38","10.41","10.02","12.2",NA
"Length of stay","Oklahoma","Statewide","days","9.74","9.78","9.43","9.3","11.12",NA
"Length of stay","Oregon","Statewide","days","9.99","9.93","9.71","9.43","11.54",NA
"Length of stay","Pennsylvania","Statewide","days","10.81","10.66","10.53","10.27","12.73",NA
"Length of stay","Rhode Island","Statewide","days","10.85","11.02","10.81","10.62","14.37",NA
"Length of stay","S. Carolina","Statewide","days","10.88","10.53","10.32","10.22","12.9",NA
"Length of stay","S. Dakota","Statewide","days","11.09","10.5","10.67","10.63","12.42",NA
"Length of stay","Tennessee","Statewide","days","10.05","9.97","9.98","9.63","11.95",NA
"Length of stay","Texas","Statewide","days","9.29","9.22","9.1","8.92","10.63",NA
"Length of stay","Utah","Statewide","days","9.36","9.27","9.09","8.96","10.48",NA
"Length of stay","Vermont","Statewide","days","12.02","12.06","12.08","12.08","14.99",NA
"Length of stay","Virginia","Statewide","days","10.42","10.22","10.1","9.92","13.27",NA
"Length of stay","Washington","Statewide","days","9.95","9.82","9.63","9.4","11.72",NA
"Length of stay","Washington, D.C.","Statewide","days","9.63","9.47","9.41","9.16","11.49",NA
"Length of stay","W. Virginia","Statewide","days","10.51","10.54","10.13","10.08","13.33",NA
"Length of stay","Wisconsin","Statewide","days","11.01","10.79","10.72","10.53","12.51",NA
"Length of stay","Wyoming","Statewide","days","10.62","10.37","10.19","9.93","12.01",NA
"Visitor arrivals","Alabama",NA,"persons","3,634","3,936","4,436","3,741","940","1,996"
"Visitor arrivals","Alaska",NA,"persons","9,925","9,789","10,018","9,880","4,189","4,640"
"Visitor arrivals","Arizona",NA,"persons","34,830","35,886","38,701","38,590","9,807","31,357"
"Visitor arrivals","Arkansas",NA,"persons","2,474","2,680","3,080","2,867","593","1,657"
"Visitor arrivals","California",NA,"persons","348,805","368,146","388,338","400,469","84,867","321,085"
"Visitor arrivals","Colorado",NA,"persons","33,085","37,380","42,460","43,832","11,450","35,421"
"Visitor arrivals","Connecticut",NA,"persons","5,449","5,651","5,889","5,643","1,131","3,845"
"Visitor arrivals","Delaware",NA,"persons","1,045","1,207","1,401","1,190","277","728"
"Visitor arrivals","Florida",NA,"persons","22,021","24,721","25,185","25,198","5,200","16,883"
"Visitor arrivals","Georgia",NA,"persons","11,205","11,861","12,758","12,543","2,272","7,754"
"Visitor arrivals","Idaho",NA,"persons","9,871","11,521","13,633","14,556","4,627","8,901"
"Visitor arrivals","Illinois",NA,"persons","26,327","27,755","28,661","28,520","7,755","18,032"
"Visitor arrivals","Indiana",NA,"persons","8,060","9,147","9,853","10,015","2,584","5,654"
"Visitor arrivals","Iowa",NA,"persons","4,873","5,855","6,249","6,307","2,801","2,772"
"Visitor arrivals","Kansas",NA,"persons","5,042","5,732","5,800","5,860","1,956","3,781"
"Visitor arrivals","Kentucky",NA,"persons","3,571","3,993","4,352","4,178","1,030","2,540"
"Visitor arrivals","Louisiana",NA,"persons","3,373","3,570","3,891","3,771","760","2,042"
"Visitor arrivals","Maine",NA,"persons","1,653","1,638","1,807","1,809","573","1,034"
"Visitor arrivals","Maryland",NA,"persons","9,427","10,642","10,953","9,901","2,145","6,112"
"Visitor arrivals","Massachusetts",NA,"persons","12,801","14,661","14,591","14,513","3,557","11,073"
"Visitor arrivals","Michigan",NA,"persons","14,554","15,899","17,845","17,056","5,231","9,351"
"Visitor arrivals","Minnesota",NA,"persons","16,050","18,113","19,547","19,682","8,764","9,144"
"Visitor arrivals","Mississippi",NA,"persons","1,388","1,259","1,370","1,402","339","751"
"Visitor arrivals","Missouri",NA,"persons","8,638","9,744","11,385","11,596","3,043","7,048"
"Visitor arrivals","Montana",NA,"persons","5,704","6,104","7,070","7,158","2,818","3,445"
"Visitor arrivals","N. Carolina",NA,"persons","9,784","11,498","12,559","11,631","2,573","7,573"
"Visitor arrivals","N. Dakota",NA,"persons","1,473","1,502","1,777","1,667","856","526"
"Visitor arrivals","Nebraska",NA,"persons","3,642","3,873","4,199","4,197","1,584","2,360"
"Visitor arrivals","Nevada",NA,"persons","14,036","15,231","16,169","17,214","4,667","12,493"
"Visitor arrivals","New Hampshire",NA,"persons","2,211","2,259","2,573","2,346","774","1,422"
"Visitor arrivals","New Jersey",NA,"persons","15,675","16,712","16,330","16,248","2,983","10,950"
"Visitor arrivals","New Mexico",NA,"persons","5,793","6,467","6,632","6,890","1,691","4,910"
"Visitor arrivals","New York",NA,"persons","28,443","30,339","30,363","29,376","6,658","20,085"
"Visitor arrivals","Ohio",NA,"persons","14,510","15,130","17,229","16,079","3,972","8,823"
"Visitor arrivals","Oklahoma",NA,"persons","5,306","5,697","5,914","5,773","1,452","3,634"
"Visitor arrivals","Oregon",NA,"persons","38,588","41,353","44,515","46,059","12,989","29,333"
"Visitor arrivals","Pennsylvania",NA,"persons","14,835","16,019","16,315","15,813","3,356","8,693"
"Visitor arrivals","Rhode Island",NA,"persons","1,229","1,280","1,375","1,315","331","914"
"Visitor arrivals","S. Carolina",NA,"persons","4,297","4,677","5,247","4,916","1,014","2,845"
"Visitor arrivals","S. Dakota",NA,"persons","1,449","1,599","1,827","1,814","886","1,020"
"Visitor arrivals","Tennessee",NA,"persons","6,485","7,456","8,199","8,237","1,935","4,790"
"Visitor arrivals","Texas",NA,"persons","45,837","48,696","54,541","54,479","11,831","40,386"
"Visitor arrivals","Utah",NA,"persons","28,228","33,419","39,876","38,723","11,207","27,805"
"Visitor arrivals","Vermont",NA,"persons","1,187","1,216","1,385","1,213","433","713"
"Visitor arrivals","Virginia",NA,"persons","13,936","15,537","16,155","15,041","3,094","9,179"
"Visitor arrivals","Washington",NA,"persons","80,636","85,937","98,625","98,042","28,663","59,713"
"Visitor arrivals","Washington, D.C.",NA,"persons","2,004","2,358","2,492","2,365","470","1,726"
"Visitor arrivals","W. Virginia",NA,"persons","845","1,064","1,124","1,046","211","551"
"Visitor arrivals","Wisconsin",NA,"persons","10,529","11,741","12,565","12,580","4,725","6,062"
"Visitor arrivals","Wyoming",NA,"persons","2,103","2,408","2,462","2,436","754","1,294"
"Visitor days","Alabama",NA,"days","25,493","28,395","30,734","24,094","8,086",NA
"Visitor days","Alaska",NA,"days","105,337","104,285","106,272","101,923","48,447",NA
"Visitor days","Arizona",NA,"days","285,226","285,768","314,051","302,061","84,240",NA
"Visitor days","Arkansas",NA,"days","18,170","18,903","21,554","19,982","4,976",NA
"Visitor days","California",NA,"days","2,835,502","2,972,011","3,078,336","3,098,755","777,153",NA
"Visitor days","Colorado",NA,"days","287,948","324,973","358,267","366,939","111,349",NA
"Visitor days","Connecticut",NA,"days","38,896","39,700","42,461","41,245","12,147",NA
"Visitor days","Delaware",NA,"days","8,261","7,944","9,504","8,528","2,631",NA
"Visitor days","Florida",NA,"days","140,916","152,819","161,732","155,792","42,896",NA
"Visitor days","Georgia",NA,"days","71,951","75,646","84,902","78,813","20,450",NA
"Visitor days","Idaho",NA,"days","88,316","102,427","121,626","126,690","45,211",NA
"Visitor days","Illinois",NA,"days","193,141","205,418","207,744","204,298","66,876",NA
"Visitor days","Indiana",NA,"days","57,691","65,445","70,627","72,318","21,672",NA
"Visitor days","Iowa",NA,"days","38,110","46,426","47,819","48,620","24,761",NA
"Visitor days","Kansas",NA,"days","37,946","41,213","42,316","42,269","15,883",NA
"Visitor days","Kentucky",NA,"days","24,072","26,444","28,336","27,673","8,324",NA
"Visitor days","Louisiana",NA,"days","21,355","21,690","24,390","23,819","5,150",NA
"Visitor days","Maine",NA,"days","15,031","13,294","15,415","15,341","5,597",NA
"Visitor days","Maryland",NA,"days","64,073","76,523","74,094","66,119","19,243",NA
"Visitor days","Massachusetts",NA,"days","96,691","110,956","107,602","105,933","33,461",NA
"Visitor days","Michigan",NA,"days","111,916","121,439","135,934","129,199","47,743",NA
"Visitor days","Minnesota",NA,"days","135,380","150,679","160,667","162,084","82,598",NA
"Visitor days","Mississippi",NA,"days","8,310","8,134","8,833","8,875","2,396",NA
"Visitor days","Missouri",NA,"days","62,287","70,790","82,116","86,440","26,794",NA
"Visitor days","Montana",NA,"days","53,693","57,072","65,352","66,685","28,385",NA
"Visitor days","N. Carolina",NA,"days","65,779","77,467","88,370","77,441","20,063",NA
"Visitor days","N. Dakota",NA,"days","12,442","13,675","14,540","13,916","8,019",NA
"Visitor days","Nebraska",NA,"days","27,921","28,807","31,834","30,471","12,849",NA
"Visitor days","Nevada",NA,"days","112,932","121,129","125,601","133,633","44,042",NA
"Visitor days","New Hampshire",NA,"days","17,992","18,604","22,817","19,499","8,131",NA
"Visitor days","New Jersey",NA,"days","102,088","103,947","105,337","101,963","25,397",NA
"Visitor days","New Mexico",NA,"days","51,028","57,176","57,955","58,894","16,675",NA
"Visitor days","New York",NA,"days","190,109","198,526","203,358","193,963","59,581",NA
"Visitor days","Ohio",NA,"days","99,073","101,528","116,855","110,265","30,198",NA
"Visitor days","Oklahoma",NA,"days","41,914","40,202","43,360","42,262","11,972",NA
"Visitor days","Oregon",NA,"days","356,796","377,565","402,426","403,073","131,918",NA
"Visitor days","Pennsylvania",NA,"days","100,217","104,591","104,910","102,768","26,337",NA
"Visitor days","Rhode Island",NA,"days","8,499","9,397","9,951","8,876","3,807",NA
"Visitor days","S. Carolina",NA,"days","29,256","30,493","34,375","32,120","8,856",NA
"Visitor days","S. Dakota",NA,"days","12,172","11,941","15,789","15,059","8,088",NA
"Visitor days","Tennessee",NA,"days","43,799","51,261","56,795","55,664","17,581",NA
"Visitor days","Texas",NA,"days","329,226","342,220","389,197","381,420","94,545",NA
"Visitor days","Utah",NA,"days","230,944","270,886","322,988","315,475","100,551",NA
"Visitor days","Vermont",NA,"days","11,343","11,598","12,647","12,199","4,796",NA
"Visitor days","Virginia",NA,"days","99,289","112,432","115,265","102,699","26,629",NA
"Visitor days","Washington",NA,"days","738,378","783,985","878,162","867,047","294,870",NA
"Visitor days","Washington, D.C.",NA,"days","14,690","16,763","17,046","15,761","4,441",NA
"Visitor days","W. Virginia",NA,"days","6,193","7,854","7,300","7,357","1,904",NA
"Visitor days","Wisconsin",NA,"days","82,241","89,493","98,544","97,263","40,203",NA
"Visitor days","Wyoming",NA,"days","18,572","21,287","21,165","20,385","8,012",NA
"Length of stay","Alabama",NA,"days","7.02","7.21","6.93","6.44","8.6",NA
"Length of stay","Alaska",NA,"days","10.61","10.65","10.61","10.32","11.56",NA
"Length of stay","Arizona",NA,"days","8.19","7.96","8.11","7.83","8.59",NA
"Length of stay","Arkansas",NA,"days","7.35","7.05","7","6.97","8.39",NA
"Length of stay","California",NA,"days","8.13","8.07","7.93","7.74","9.16",NA
"Length of stay","Colorado",NA,"days","8.7","8.69","8.44","8.37","9.72",NA
"Length of stay","Connecticut",NA,"days","7.14","7.03","7.21","7.31","10.74",NA
"Length of stay","Delaware",NA,"days","7.91","6.58","6.78","7.17","9.5",NA
"Length of stay","Florida",NA,"days","6.4","6.18","6.42","6.18","8.25",NA
"Length of stay","Georgia",NA,"days","6.42","6.38","6.65","6.28","9",NA
"Length of stay","Idaho",NA,"days","8.95","8.89","8.92","8.7","9.77",NA
"Length of stay","Illinois",NA,"days","7.34","7.4","7.25","7.16","8.62",NA
"Length of stay","Indiana",NA,"days","7.16","7.15","7.17","7.22","8.39",NA
"Length of stay","Iowa",NA,"days","7.82","7.93","7.65","7.71","8.84",NA
"Length of stay","Kansas",NA,"days","7.53","7.19","7.3","7.21","8.12",NA
"Length of stay","Kentucky",NA,"days","6.74","6.62","6.51","6.62","8.08",NA
"Length of stay","Louisiana",NA,"days","6.33","6.08","6.27","6.32","6.78",NA
"Length of stay","Maine",NA,"days","9.09","8.12","8.53","8.48","9.77",NA
"Length of stay","Maryland",NA,"days","6.8","7.19","6.76","6.68","8.97",NA
"Length of stay","Massachusetts",NA,"days","7.55","7.57","7.37","7.3","9.41",NA
"Length of stay","Michigan",NA,"days","7.69","7.64","7.62","7.58","9.13",NA
"Length of stay","Minnesota",NA,"days","8.44","8.32","8.22","8.24","9.42",NA
"Length of stay","Mississippi",NA,"days","5.99","6.46","6.45","6.33","7.07",NA
"Length of stay","Missouri",NA,"days","7.21","7.26","7.21","7.45","8.81",NA
"Length of stay","Montana",NA,"days","9.41","9.35","9.24","9.32","10.07",NA
"Length of stay","N. Carolina",NA,"days","6.72","6.74","7.04","6.66","7.8",NA
"Length of stay","N. Dakota",NA,"days","8.45","9.1","8.18","8.35","9.37",NA
"Length of stay","Nebraska",NA,"days","7.67","7.44","7.58","7.26","8.11",NA
"Length of stay","Nevada",NA,"days","8.05","7.95","7.77","7.76","9.44",NA
"Length of stay","New Hampshire",NA,"days","8.14","8.24","8.87","8.31","10.5",NA
"Length of stay","New Jersey",NA,"days","6.51","6.22","6.45","6.28","8.51",NA
"Length of stay","New Mexico",NA,"days","8.81","8.84","8.74","8.55","9.86",NA
"Length of stay","New York",NA,"days","6.68","6.54","6.7","6.6","8.95",NA
"Length of stay","Ohio",NA,"days","6.83","6.71","6.78","6.86","7.6",NA
"Length of stay","Oklahoma",NA,"days","7.9","7.06","7.33","7.32","8.25",NA
"Length of stay","Oregon",NA,"days","9.25","9.13","9.04","8.75","10.16",NA
"Length of stay","Pennsylvania",NA,"days","6.76","6.53","6.43","6.5","7.85",NA
"Length of stay","Rhode Island",NA,"days","6.91","7.34","7.24","6.75","11.49",NA
"Length of stay","S. Carolina",NA,"days","6.81","6.52","6.55","6.53","8.73",NA
"Length of stay","S. Dakota",NA,"days","8.4","7.47","8.64","8.3","9.13",NA
"Length of stay","Tennessee",NA,"days","6.75","6.88","6.93","6.76","9.09",NA
"Length of stay","Texas",NA,"days","7.18","7.03","7.14","7","7.99",NA
"Length of stay","Utah",NA,"days","8.18","8.11","8.1","8.15","8.97",NA
"Length of stay","Vermont",NA,"days","9.56","9.53","9.13","10.06","11.08",NA
"Length of stay","Virginia",NA,"days","7.12","7.24","7.13","6.83","8.61",NA
"Length of stay","Washington",NA,"days","9.16","9.12","8.9","8.84","10.29",NA
"Length of stay","Washington, D.C.",NA,"days","7.33","7.11","6.84","6.67","9.45",NA
"Length of stay","W. Virginia",NA,"days","7.33","7.38","6.5","7.03","9.04",NA
"Length of stay","Wisconsin",NA,"days","7.81","7.62","7.84","7.73","8.51",NA
"Length of stay","Wyoming",NA,"days","8.83","8.84","8.6","8.37","10.62",NA
